TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Linares;6.-TRÁFICO DE DROGAS (EU);6;12;100,0
Municipio de Linares;7.-DAÑOS;196;199;1,5
Municipio de Linares;8.-HURTOS;483;466;-3,5
Provincia de Málaga;1.-DELITOS Y FALTAS (EU);58787;60373;2,7
Provincia de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);13;13;0,0
Provincia de Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1108;1269;14,5
Provincia de Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2840;3272;15,2
Provincia de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1874;1742;-7,0
Provincia de Málaga;6.-TRÁFICO DE DROGAS (EU);625;655;4,8
Provincia de Málaga;7.-DAÑOS;5384;5811;7,9
Provincia de Málaga;8.-HURTOS;22115;23171;4,8
Municipio de Benalmádena;1.-DELITOS Y FALTAS (EU);3298;2924;-11,3
Municipio de Benalmádena;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Benalmádena;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);33;48;45,5
Municipio de Benalmádena;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);125;149;19,2
Municipio de Benalmádena;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);105;74;-29,5
Municipio de Benalmádena;6.-TRÁFICO DE DROGAS (EU);19;24;26,3
Municipio de Benalmádena;7.-DAÑOS;379;345;-9,0
Municipio de Benalmádena;8.-HURTOS;1247;1115;-10,6
Municipio de Estepona;1.-DELITOS Y FALTAS (EU);2624;2704;3,0
Municipio de Estepona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de Estepona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);35;27;-22,9
Municipio de Estepona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);193;183;-5,2
Municipio de Estepona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);90;74;-17,8
Municipio de Estepona;6.-TRÁFICO DE DROGAS (EU);40;35;-12,5
Municipio de Estepona;7.-DAÑOS;289;324;12,1
Municipio de Estepona;8.-HURTOS;788;816;3,6
Municipio de Fuengirola;1.-DELITOS Y FALTAS (EU);4585;4112;-10,3
Municipio de Fuengirola;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Fuengirola;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);118;91;-22,9
Municipio de Fuengirola;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);127;87;-31,5
Municipio de Fuengirola;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);147;120;-18,4
Municipio de Fuengirola;6.-TRÁFICO DE DROGAS (EU);66;75;13,6
Municipio de Fuengirola;7.-DAÑOS;400;351;-12,3
Municipio de Fuengirola;8.-HURTOS;2099;1871;-10,9
Municipio de Málaga;1.-DELITOS Y FALTAS (EU);19446;19258;-1,0
Municipio de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;6;200,0
Municipio de Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);432;564;30,6
Municipio de Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);423;581;37,4
Municipio de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);641;595;-7,2
Municipio de Málaga;6.-TRÁFICO DE DROGAS (EU);206;210;1,9
Municipio de Málaga;7.-DAÑOS;1306;1388;6,3
Municipio de Málaga;8.-HURTOS;8718;8804;1,0
Municipio de Marbella;1.-DELITOS Y FALTAS (EU);8338;9953;19,4
Municipio de Marbella;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Municipio de Marbella;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);181;188;3,9
Municipio de Marbella;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);426;509;19,5
